,0
0,18708.0
1,17164.9
2,11496.9
3,3070.1
4,25084.6
5,23866.6
6,8813.8
7,14218.4
8,6299.2
9,15231.2
10,9344.4
11,23107.8
12,23481.1
13,14051.2
14,7316.4
15,16507.0
16,7094.7
17,10930.2
18,21833.1
19,27254.8
20,44575.8
21,29751.5
22,20613.9
23,25127.6
24,24949.2
25,14121.1
26,20665.1
27,6970.3
28,16442.6
29,23656.5
30,26520.8
31,13043.7
32,12609.9
33,17471.1
34,17660.9
35,32365.2
36,3620.8
37,17229.8
38,5588.7
39,17714.0
40,13001.3
41,19031.1
42,4224.8
43,12147.3
44,9882.8
45,9174.4
46,16781.2
47,13447.2
48,6815.1
49,14211.3
50,9777.7
51,5123.0
52,5074.1
53,13093.7
54,19255.6
55,6192.1
56,13341.7
57,14705.1
58,11761.5
59,10587.0
60,3396.0
61,12154.4
62,12127.7
63,19063.0
64,18108.0
65,17722.5
66,8694.4
67,11401.0
68,15993.3
69,17964.0
70,10634.7
71,3432.1
72,5700.0
73,8278.5
74,5605.5
75,3432.1
76,12563.3
77,16039.3
78,11863.7
79,7835.0
80,16134.0
81,15335.1
82,3822.0
83,6586.9
84,18445.6
85,23327.3
86,9726.6
87,14822.5
88,14219.7
89,7342.5
90,11658.0
91,9575.8
92,21079.3
93,9757.6
94,15052.9
95,15021.4
96,21408.1
97,19739.2
98,6512.4
99,12087.0
100,19676.3
101,17773.6
102,10499.9
103,20674.0
104,6646.8
105,22670.8
106,17387.3
107,12755.7
108,13687.3
109,9538.3
110,8193.5
111,11209.9
112,16856.6
113,24769.6
114,9775.7
115,14969.4
116,7282.3
117,6952.8
118,13985.8
119,10088.6
120,5454.8
121,8219.4
122,7610.9
123,16173.6
124,12980.6
125,6848.1
126,17158.5
127,15666.7
128,8219.4
129,16542.2
130,22938.1
131,26875.9
132,28346.4
133,9790.4
134,26093.5
135,14919.7
136,34514.0
137,29971.5
138,24618.8
139,41966.5
140,1675.1
141,12393.7
142,3293.4
143,4325.4
144,28387.3
145,12968.3
146,16032.7
147,10308.2
148,7782.9
149,9927.9
150,7580.9
151,6522.9
152,13822.8
153,17023.0
154,9281.9
155,16376.1
156,25070.0
157,13016.0
158,14196.1
159,13817.6
160,13502.6
161,15232.2
162,6015.9
163,23413.3
164,14266.8
165,13975.0
166,7627.5
167,17323.7
168,11579.8
169,12816.8
170,10197.9
171,7917.4
172,12282.1
173,18227.3
174,7954.4
175,22607.1
176,14471.7
177,6186.6
178,9564.4
179,9167.3
180,25195.8
181,19373.6
182,19800.8
183,12098.0
184,25195.8
185,24501.7
186,6541.0
187,20557.6
188,24531.2
189,19800.8
190,12257.5
191,4570.3
192,57728.8
193,11888.2
194,17708.1
195,14079.7
196,15889.1
197,10195.8
198,11296.9
199,20432.9
200,16465.6
201,23984.9
202,18836.7
203,8235.8
204,12417.6
205,9278.6
206,15263.0
207,8918.2
208,15485.0
209,17354.2
210,6912.8
211,23283.4
212,27178.3
213,12795.1
214,8393.6
215,11227.4
216,8058.1
217,3151.3
218,14435.7
219,14663.8
220,6522.3
221,11548.7
222,13905.5
223,3660.7
224,18730.6
225,4344.8
226,6746.9
227,5841.4
228,14290.3
229,14290.3
230,12593.0
231,12042.1
232,5260.8
233,12863.5
234,11341.4
235,7535.3
236,8875.8
237,2179.7
238,8352.7
239,10936.9
240,9142.5
241,20429.8
242,11188.8
243,10737.9
244,22791.1
245,15748.5
246,13161.0
247,8860.3
248,12609.8
249,5762.2
250,6742.2
251,10166.7
252,2838.7
253,4904.3
254,4046.0
255,13163.6
256,13808.1
257,9113.5
258,2838.7
259,8931.6
260,8312.8
261,5251.2
262,19675.4
263,14605.3
264,13018.1
265,8820.2
266,6600.5
267,6680.9
268,8811.0
269,3558.3
270,12504.6
271,18024.0
272,19225.6
273,22327.6
274,19165.7
275,11603.6
276,14003.3
277,6248.9
278,9805.6
279,33084.0
280,11538.5
281,23153.5
282,24329.5
283,9624.5
284,8310.2
285,8224.3
286,5222.1
287,9624.5
288,10556.1
289,34767.0
290,12518.9
291,5775.3
292,9822.6
293,16695.4
294,2568.6
295,18880.9
296,12868.0
297,10281.7
298,3177.6
299,15711.7
300,15399.2
301,15073.0
302,19861.3
303,19861.3
304,23436.7
305,23581.6
306,32074.5
307,16461.6
308,16663.9
309,6973.1
310,16788.5
311,15101.2
312,27633.4
313,14964.3
314,23321.0
315,22132.0
316,16730.7
317,26202.1
318,15084.4
319,8241.6
320,9290.1
321,18213.8
322,11781.7
323,5590.3
324,20828.1
325,10184.5
326,8083.6
327,7388.9
328,15847.2
329,1311.3
330,5655.8
331,10634.6
332,8003.8
333,11309.7
334,9608.7
335,7556.3
336,23087.0
337,7142.7
338,10952.4
339,9905.6
340,14581.1
341,14930.6
342,2581.9
343,15364.8
344,9855.0
345,20006.1
346,14560.2
347,13808.0
348,8119.6
349,5811.7
350,13830.6
351,12939.7
352,11616.0
353,8910.4
354,12202.9
355,6054.7
356,11146.6
357,18583.1
358,13375.7
359,12368.5
360,13481.7
361,19305.6
362,12560.7
363,4474.5
364,3915.3
365,12396.3
366,14210.2
367,8269.9
368,19906.0
369,8266.2
370,16170.1
371,20074.1
372,16073.2
373,16147.6
374,5792.8
375,11624.7
376,9182.0
377,14072.8
378,14464.2
379,23773.1
