,sourceid,dstid,dow,mean_travel_time,src_area,dst_area,geo_distance,pop_distance,src_longitude,src_latitude,src_longitude_rad,src_latitude_rad,dst_longitude,dst_latitude,dst_longitude_rad,dst_latitude_rad,haversine_distances
0,10,241,3,2334.43,0.790802,0.584104,14.114137203527532,14.141759155069781,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.11819940340813195,51.4524176131698,-0.0020629687633649096,0.8980140954609351,14.083140372356457
1,10,612,5,1529.83,0.790802,6.27943,13.665746851160385,12.486204867773074,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,0.18447085122875936,51.61298984685965,0.0032196237278984785,0.9008166096261048,13.644252957983257
2,10,905,4,1390.04,0.790802,0.662274,8.249044187055855,8.333425766154038,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.056013995246506174,51.49060645851585,-0.0009776286442479856,0.8986806165497586,8.227684875726046
3,10,407,7,157.91,0.790802,0.796626,2.258856790502665,2.3719411881410553,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,0.07991064575128597,51.53207926921781,0.001394703875754758,0.8994044536465642,2.251140181355743
4,10,603,4,1781.67,0.790802,1.28299,17.972040340484437,18.017793982616187,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.08705899024343935,51.65903877985206,-0.0015194660232096364,0.9016203151238527,17.95268599534723
5,10,123,1,1720.39,0.790802,1.62037,17.59504077858304,17.60577567163685,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.11947561819231083,51.63939799757275,-0.0020852429133114596,0.9012775188054113,17.5669034602351
6,10,943,2,761.8,0.790802,0.841702,6.189825199470499,6.1687552228954585,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.02099032854020517,51.489872881059235,-0.0003663503441019152,0.8986678132078223,6.175186725021269
7,10,622,2,1351.76,0.790802,1.56645,11.072876139468011,10.955244999542456,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,0.18242234644150504,51.57920387579597,0.0031838705746180243,0.90022693319006,11.048001533664364
8,10,934,2,528.43,0.790802,0.472909,4.48159179310209,4.631946135265392,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,-0.013389038043048354,51.51352893486448,-0.00023368279752597205,0.8990806892347528,4.585915499716345
9,10,946,4,952.7,0.790802,1.88279,11.189016131903646,11.12613589706687,0.05134099599991722,51.52238749500821,0.0008960694214517938,0.8992353002762468,0.010947248253547101,51.61904080908549,0.00019106552605759592,0.9009222188398595,11.104029613512935
